Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,EnglishTitle,OMDb_Title,OMDb_Year,OMDb_Rated,OMDb_Released,OMDb_Runtime,OMDb_Genre,OMDb_Director,OMDb_Writer,OMDb_Actors,OMDb_Plot,OMDb_Language,OMDb_Country,OMDb_Awards,OMDb_Poster,OMDb_Ratings,OMDb_Metascore,OMDb_imdbRating,OMDb_imdbVotes,OMDb_imdbID,OMDb_Type,OMDb_DVD,OMDb_BoxOffice,OMDb_Production,OMDb_Website,OMDb_Response,Error,TMDb_Synopsis,TMDb_Tagline,TMDb_Keywords,TMDb_Error,LLM_Raw_Response,Fear_Category
Fever Dream // أحلام العصر,No,,"300,000",2:59,100000,Fever Dream,Fever Dream,2021.0,R,13 Oct 2021,93 min,"Drama, Horror, Mystery",Claudia Llosa,"Claudia Llosa, Samanta Schweblin","María Valverde, Jolene Andersen, Dolores Fonzi","It will tell the haunting story of broken souls, toxins, looming environmental and spiritual catastrophes, and the ties that bind a parent to a child.",Spanish,"Peru, Chile, Spain, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BMTFhYzk5NzctMDcxMS00YzA1LTg2ZWMtYzE4ZmYwMDM2ODlhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,5.5,"2,487",tt9471660,movie,,,,,True,,"A woman named Amanda lies stricken, far from home. A young boy named David questions her, trying to make her remember. She's not his mother, he's not her son. As her time is running out, he helps her unravel a powerful, haunting story of obsessive jealousy, an invisible danger, and the power of a mother's love for her child.",Pay attention.,,,"Based on the title, overview, and keywords, I would classify ""Fever Dream"" under **Invasion, Impostors & Paranoia** (Category 1).

The film appears to explore themes of identity, memory, and the blurring of reality, which are all characteristic of this category. The presence of an ""invisible danger"" and Amanda's inability to recall her past or her relationship with David suggests that there may be an external force at play, manipulating their perceptions and actions.

While the film may also touch on themes of grief, family trauma, and moral punishment, the primary fear driving the horror appears to be the invasion of Amanda's reality by this unknown threat. The fact that David is not her son and she's not his mother implies a sense of displacement and disconnection, which are hallmarks of Invasion, Impostors & Paranoia.

Overall, I believe that ""Fever Dream"" is best classified under Category 1: **Invasion, Impostors & Paranoia**.","Invasion, Impostors & Paranoia"
Honeymoon (2022),No,,"300,000",2:12,100000,Honeymoon,Honeymoon,2014.0,R,12 Sep 2014,87 min,"Drama, Fantasy, Horror",Leigh Janiak,"Phil Graziadei, Leigh Janiak","Rose Leslie, Harry Treadaway, Ben Huber",A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMjI2MzA0NTk2NF5BMl5BanBnXkFtZTgwMzk2Njc0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65.0,5.7,"27,810",tt3177316,movie,,"$9,318",,,True,,"On her honeymoon, a young bride sleepwalks into the woods surrounding a secluded cabin. When she returns, she looks the same—but something about her is terrifyingly different.",After the ceremony comes the ritual.,"lake, boat, married couple, honeymoon, woods, memory loss, cabin, sleepwalking, woman director, mysterious events",,"Based on the title, overview, and keywords, I would classify the movie ""Honeymoon"" under the category of **Body Horror / Envelope Violation**.

The fear at the core of this film appears to be the invasion and alteration of the protagonist's body, which is hinted at by her sleepwalking into the woods and returning with a terrifyingly different appearance. The use of words like ""something about her"" and ""terrifyingly different"" suggests that there has been a physical transformation that compromises her bodily boundaries.

This classification also fits with the themes of memory loss and mysterious events, which are common in body horror films. The fact that the film is directed by a woman adds an interesting layer to the exploration of feminine experiences and the blurring of boundaries between self and other.

Overall, I believe that **Body Horror / Envelope Violation** is the primary fear category that best represents the core of this film.",Body Horror / Envelope Violation
Midsommar,No,,"300,000",2:27,100000,Midsommar,Midsommar,2019.0,R,03 Jul 2019,148 min,"Drama, Horror, Mystery",Ari Aster,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,"English, Swedish","United States, Sweden",27 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.1,"457,462",tt8772262,movie,,"$27,426,361",,,True,,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",Let the festivities begin.,"ritual, paranoia, sweden, cult, hallucinogenic drug, magic mushroom, anthropology, human sacrifice, paganism, death of family, boyfriend girlfriend relationship, midsummer, cultural conflict, bad trip, folk horror, toxic relationship, midnight sun, isolated community, summer festival, traumatized woman, violence, ambiguous, foreboding",,"Based on the title, overview, and keywords, I would classify Midsommar under **Persecution & Social Breakdown**. The film's central fear is the gradual descent into a dark nightmare as the protagonists become trapped in a cult-like community that celebrates human sacrifice and pagan rituals. The menace is not an external invasion or possession but rather the collapse of moral order and the breakdown of social norms within the isolated community.

The film's themes of cultural conflict, toxic relationships, and the blurring of reality and fantasy contribute to a sense of paranoia and unease as the characters become increasingly trapped in the cult's sinister activities. The use of hallucinogenic drugs and magic mushrooms further exacerbates the sense of disorientation and confusion, making it difficult for the audience to distinguish between reality and the characters' perceptions.

Overall, Midsommar's primary fear is the breakdown of social norms and the collapse of moral order within a seemingly idyllic community, which aligns with the **Persecution & Social Breakdown** category.",Persecution & Social Breakdown
Virupaksha,No,,"300,000",2:22,100000,Virupaksha,Virupaksha,2023.0,Not Rated,21 Apr 2023,145 min,"Action, Horror, Mystery",Karthik Varma Dandu,"Krushna Hari, Sukumar","Sai Dharam Tej, Samyuktha Menon, Sunil","When a man visits his ancestral village, where terror reigns after a chain of unexplained deaths, he must unravel mystical secrets before it's too late.",Telugu,India,9 nominations,https://m.media-amazon.com/images/M/MV5BZjZmNDVhNTUtMzE0Zi00ZWZjLTllZjAtY2Q3MGQ1NDU0ZDhiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"6,535",tt24059780,movie,,,,,True,,"Set in a village named Rudravanam in 1990's, Surya along with his mother, visit there after a long time. Suddenly a series of mysterious deaths occur due to an unknown person's occult practice and whole village is scared. Will Surya find the person causing the deaths and save the village?",,,,"Based on the title, overview, and keywords, I would classify Virupaksha under **Invasion, Impostors & Paranoia**.

The fear of being replaced or observed by a hidden presence is present in this film. The unknown person's occult practice and mysterious deaths suggest an external force that is infiltrating and manipulating the village, causing paranoia among its residents. This category fits best as the primary fear at the core of the film, driving the menace and conflict.

The other categories don't seem to fit as well:

* **Institutional & Structural Control**: There's no indication of systemic exploitation or control in this film.
* **Possession & Loss of Agency**: While there is a supernatural element, it seems more focused on an external invasion rather than possession or loss of agency.
* **Captivity & Voyeuristic Sadism**: No intentional captor or sadistic agent is present in the story.
* **Contagion & Mutation**, **Body Horror / Envelope Violation**, and **Ecological / Natural Menace**: These categories don't seem to apply as the primary fear driving the horror.

The other categories, such as **Isolation & Psychological Unraveling**, **Grief & Familial Trauma**, and **Transgression & Moral Punishment**, also don't fit well with this film's premise.","Invasion, Impostors & Paranoia"
Antebellum,No,,"200,000",1:46,100000,Antebellum,Antebellum,2020.0,R,18 Sep 2020,105 min,"Drama, Horror, Mystery","Gerard Bush, Christopher Renz","Gerard Bush, Christopher Renz","Janelle Monáe, Eric Lange, Jena Malone",Successful author Veronica Henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,English,United States,3 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNjU1MDQ1ZDAtMDY0Ny00NzNjLWI0MjktZGQ4ZTQyMmNlYTkxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43.0,5.8,"31,069",tt10065694,movie,,,,,True,,Successful author Veronica finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,"If it chooses you, nothing can save you.","civil war, strong woman, kidnapping, slavery, racism, reenactment, psychotic, hard, shocking, hostile, white supremacists, philosophical, antebellum south, authoritarian, awestruck, empathetic, enchant, enthusiastic, exhilarated, frightened, ghoulish, harsh, horrified, pretentious",,"Based on the title, overview, and keywords, I would classify ""Antebellum"" under **Invasion, Impostors & Paranoia**.

The film's premise suggests that Veronica is trapped in a horrifying reality, which implies an external or uncanny presence that is manipulating her environment. The use of words like ""kidnapping"", ""slavery"", and ""white supremacists"" also hint at a sense of invasion and control by oppressive forces.

While the film may touch on themes of racism, slavery, and authoritarianism, these issues are not the primary source of fear in this case. Instead, the focus is on Veronica's experience of being trapped and manipulated by an external force that is beyond her control.

This classification also takes into account the film's use of reenactment as a plot device, which can be seen as a form of invasion or imposition of one reality onto another. Overall, I believe that **Invasion, Impostors & Paranoia** is the most fitting category for ""Antebellum"".","Invasion, Impostors & Paranoia"
ATM // ATM เออรัก เออเร่อ,No,,"200,000",2:02,100000,ATM,ATM,2012.0,R,02 Mar 2012,90 min,"Horror, Mystery, Thriller",David Brooks,"Chris Sparling, Ron Tippe","Alice Eve, Josh Peck, Brian Geraghty","On a late night visit to an ATM, three co-workers end up in a desperate fight for their lives when they become trapped by an unknown man.",English,"United States, Canada",,https://m.media-amazon.com/images/M/MV5BMTQ4OTQxMzU5OV5BMl5BanBnXkFtZTcwNDMyNzM0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,4.7,"25,742",tt1603257,movie,,"$3,010",,,True,,"After leaving their company Christmas Party together, David Hargrove and Emily Brandt’s impromptu first date takes an unexpected turn when their coworker, Corey, asks them to make a late-night stop at an ATM.  What should be a routine transaction turns into a desperate struggle for survival when an unknown man appears outside the vestibule.",No warning. No control. No escape.,"trapped, atm, hooded figure, duringcreditsstinger, bold",,"Based on the title, overview, and keywords, I would classify the movie ""ATM"" under the category of **Captivity & Voyeuristic Sadism**.

The film's premise revolves around a group of people being trapped in an ATM vestibule with a mysterious hooded figure outside. The tension builds as they try to escape, but it becomes clear that their captor is intentionally keeping them there for some unknown purpose. This category fits best because the primary fear is not of invasion or possession, but rather of being imprisoned and subjected to deliberate cruelty.

The use of words like ""trapped"" and ""desperate struggle for survival"" in the overview also suggest a sense of confinement and desperation, which aligns with this category. Additionally, the presence of a hooded figure outside the vestibule implies an intentional captor, rather than an external force or natural phenomenon, further supporting this classification.

Overall, while there may be elements of paranoia and uncertainty, the core fear in ""ATM"" appears to be that of being captured and subjected to sadistic treatment, making **Captivity & Voyeuristic Sadism** the most fitting category.",Captivity & Voyeuristic Sadism
Backcountry,No,,"200,000",1:32,100000,Backcountry,Backcountry,2014.0,R,20 Mar 2015,92 min,"Adventure, Drama, Horror",Adam MacDonald,Adam MacDonald,"Jeff Roop, Missy Peregrym, Nicholas Campbell",An urban couple goes camping in the woods and find themselves lost in the territory of a predatory black bear.,English,Canada,3 nominations total,https://m.media-amazon.com/images/M/MV5BMzE3NTMwOTk5OF5BMl5BanBnXkFtZTgwODcxNTE1NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62.0,6.0,"26,215",tt2944198,movie,,"$13,848",,,True,,A couple on a deep-wilderness hike become hopelessly lost within an aggressive black bear's territory.,Survive.,"camping, animal attack, grave, gore, canoe, based on true story, woods, survival, bear, ontario, canada, nature, bear attack, lost in the woods, black bear, frightened, tragic",,"Based on the title, overview, and keywords, I would classify ""Backcountry"" under **Ecological / Natural Menace**.

The primary fear at the core of this film is the threat posed by a natural force - in this case, an aggressive black bear. The couple's hopelessness and vulnerability as they become lost in the woods heightens the sense of danger and tension, making the bear attack a terrifying and intense experience for the audience.

While there are elements of survival and gore present in the film, these aspects serve to amplify the ecological menace rather than introduce other fear categories.",Ecological / Natural Menace
Black Butler: Book of the Atlantic // 劇場版 黒執事 Book of the Atlantic,No,,"200,000",1:40,100000,Black Butler: Book of the Atlantic,Black Butler: Book of the Atlantic,2017.0,TV-MA,12 Jun 2017,101 min,"Animation, Fantasy, Horror","Noriyuki Abe, Stephen Hoff","Yana Toboso, Hiroyuki Yoshino","Bryn Apprill, Dawn M. Bennett, Justin Briner","A young lord and his demon butler board a luxury cruise ship to investigate claims of the dead being returned to life, and are faced with various complications.",Japanese,Japan,2 nominations,https://m.media-amazon.com/images/M/MV5BYzNjMjZhYTYtMGRiNS00MGJmLTlkYTUtMDI1Y2QxZjdiZDFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"1,657",tt5476944,movie,,"$248,286",,,True,,"Ciel learns of a ""Aurora Society"", that is rumored to be researching how to bring the dead back to life. Their next meeting is scheduled to be conducted on the ship Campania, voyaging across the Atlantic Ocean. Much to Ciel's dismay, Elizabeth ""Lizzy"" Midford, is taking the same ship, thus leaving him with no choice but to get aboard as well.",,"ship, butler, supernatural, gore, victorian england, sequel, zombie, based on manga, demon, adult animation, dark fantasy, shounen, anime",,"Based on the title, overview, and keywords, I would classify ""Black Butler: Book of the Atlantic"" under **Invasion, Impostors & Paranoia**.

The film's premise revolves around a mysterious organization, the Aurora Society, that is rumored to be researching how to bring the dead back to life. This implies an external or uncanny presence (the society) that is attempting to alter the natural order of life and death. The fact that Ciel, the protagonist, feels compelled to infiltrate their meeting on a ship across the Atlantic Ocean suggests a sense of paranoia and unease.

While there may be elements of possession, contagion, or supernatural horror present in the film, the primary fear at play appears to be the invasion of an external force into the world of the living. This fear is driven by the unknown intentions of the Aurora Society and their potential manipulation of life and death, which aligns with the Invasion, Impostors & Paranoia category.

Therefore, I would categorize ""Black Butler: Book of the Atlantic"" under **Invasion, Impostors & Paranoia**.","Invasion, Impostors & Paranoia"
Bloodlust Beauty // Si Manis Jembatan Ancol,No,,"200,000",1:58,100000,Bloodlust Beauty,Bloodlust Beauty,2019.0,TV-MA,26 Dec 2019,116 min,"Drama, Horror, Thriller","Anggy Umbara, Bounty Umbara","Isman H.S., Anggy Umbara, Fajar Umbara","Indah Permatasari, Arifin Putra, Randy Pangalila","Terrifying legends has spread out. The appearance of Maryam as the ghost has been seen for so many times, at the old bridge or in the other place. She spread terrors for revenge.",Indonesian,Indonesia,1 nomination,https://m.media-amazon.com/images/M/MV5BMzkyYjM2OGEtOWZjMi00M2EyLWE1MzktZGRhMTlmNmVkYmRhXkEyXkFqcGdeQXVyMTAyNDYyNzcw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",,5.3,185,tt11067190,movie,,,,,True,,"Maryam, a woman who are looking for happiness when her love life with Roy is in the verge of destruction. The presence of Yudha are able to make Maryam calm. But, a tragedy happened.  After that a horror urban legend started to spread. Besides bringing havoc, Maryam's presence brings a valuable lessons for the people around her.",,,,"Based on the title ""Bloodlust Beauty"" and the overview, I would classify this movie under **Captivity & Voyeuristic Sadism**.

The fear of being trapped and deliberately subjected to cruelty as spectacle is a primary theme in this film. The presence of Yudha seems to have a calming effect on Maryam, but the tragedy that occurs sets off a horror urban legend that brings havoc and destruction. This suggests that there is an intentional, conscious captor or sadistic force at play, which is characteristic of the Captivity & Voyeuristic Sadism category.

The keywords provided do not reveal any information that would lead me to categorize this film under another fear category.",Captivity & Voyeuristic Sadism
Child's Play 3,No,,"200,000",1:30,100000,Child's Play 3,Child's Play 3,1991.0,R,30 Aug 1991,90 min,"Horror, Thriller",Jack Bender,Don Mancini,"Justin Whalin, Perrey Reeves, Jeremy Sylvers","Chucky returns for revenge against Andy, the young boy who defeated him, and now a teenager living in a military academy.",English,United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNzc0NjExMTgtYTA4ZS00NWRiLWE3MzUtNTUyNDFkNGY3ODRkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27.0,5.2,"49,508",tt0103956,movie,,"$14,960,255",,,True,,"Eight years after seemingly destroying the killer doll, teen Andy Barclay is placed in a military school, and the spirit of Chucky returns to renew his quest and seek vengeance after being recreated from a mass of melted plastic.",There comes a time to put away childhood things. But some things won't stay put!,"voodoo, recruit, evil doll, killer doll, serial killer, slasher, military academy, killer toys, toy comes to life, war game, possessed doll, supernatural power, horrified",,"Based on the title, overview, and keywords, I would classify Child's Play 3 under **Invasion, Impostors & Paranoia**.

The primary fear at the core of this film is the invasion of Andy Barclay's life by the spirit of Chucky, a killer doll that has been recreated from melted plastic. The voodoo ritual that brings Chucky back to life serves as an external and uncanny presence that drives the horror sequences. The film's focus on Chucky's quest for vengeance and his ability to manipulate and terrorize those around him falls under this category.

While there are elements of possession and supernatural power, the primary fear is not the loss of agency or control over one's own mind or body, but rather the invasion of Andy's life by an external force that seeks to harm and destroy.","Invasion, Impostors & Paranoia"
Clarita,No,,"200,000",1:26,100000,Clarita,Clarita,2019.0,,26 Jul 2019,85 min,"Drama, Horror, Mystery",Roderick Cabrido,"Roderick Cabrido, Cenon Palomares","Jodi Sta. Maria, Ricky Davao, Arron Villaflor",A young woman is apprehended and held by police when they suspect that she is possessed by a demon.,"Tagalog, Filipino",Philippines,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BOTdhYzRjNTAtMTQ2NC00OGY3LWE4ZDUtY2QxNjE2ZjAyMWZjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,566,tt10405390,movie,,"$38,491",,,True,,"After learning that a group of doctors were killed by super natural forces, father’s Salvador and Benedicto will have their faith tested when they are tasked to perform an exorcism on a possessed woman named Clarita. Meanwhile, a photojournalist investigates the truth about Clarita’s possession and helps the two priests perform the exorcism. In their journey to help Clarita, they will encounter demonic obstacles that will prevent them from performing the exorcism.",,philippines,,"Based on the title, overview, and keywords, I would classify the movie ""Clarita"" under **Possession & Loss of Agency** (Fear Category 4).

The film's premise revolves around a possessed woman named Clarita, who is being exorcised by two priests. The story also involves a photojournalist investigating the truth about Clarita's possession and helping the priests perform the exorcism. This suggests that the primary fear at play is the loss of agency and control due to supernatural forces.

The fact that the movie takes place in the Philippines adds a cultural and religious context to the story, which further supports the classification under Possession & Loss of Agency.",Possession & Loss of Agency
Claws // Móng vuốt,No,,"200,000",1:36,100000,Claws,Claws,1977.0,PG,,100 min,"Horror, Thriller","Richard Bansbach, Robert E. Pearson","Chuck D. Keen, Brian Russell","Jason Evers, Leon Ames, Anthony Caruso","Hunters wound a grizzly bear in a national forest in Alaska. Soon after, the wounded bear goes off and kills several other hunters, hikers, campers, the sheriff and a little boy scout. Jason Evers sets out to stop it in the frozen...",English,United States,,https://m.media-amazon.com/images/M/MV5BNDIzMjJjNzMtY2E1ZS00ZThlLWJjYmItMTczODc3NjU4OWFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",,4.1,362,tt0075857,movie,,,,,True,,"A grizzly bear who is wounded by three hunters in one year goes on a killing spree in the woods, taking revenge on humans as a whole. Jason and Chris Monroe, an estranged husband and wife, pursue the bear after it kills their only son, Buck.",A raging grizzly bear taking revenge on man!,"hunter, camping, hiking, grizzly bear, animal attack, alaska, animal horror",,"Based on the title, overview, and keywords, I would classify ""Claws"" under the category of **Ecological / Natural Menace**.

The movie's premise revolves around a wounded grizzly bear that seeks revenge against humans after being attacked by three hunters. The bear's killing spree is driven by its natural instinct to protect itself and its territory, rather than any conscious intent or malevolent force. This fear category captures the horror of nature turning hostile, which is a common theme in many animal attack movies.

While there may be some human characters involved in the story, such as Jason and Chris Monroe, their actions are not the primary source of the horror. Instead, the menace comes from the natural world, specifically the grizzly bear's response to its injuries and perceived threats.",Ecological / Natural Menace
Danur 2: Maddah,No,,"200,000",1:29,100000,Danur 2: Maddah,Danur 2: Maddah,2018.0,,28 Mar 2018,92 min,Horror,Awi Suryadi,"Lele Laila, Adam Ripp, Risa Saraswati","Prilly Latuconsina, Sandrinna Michelle, Shawn Adrian Khulafa","As Risa's ability to see ghosts continues to disrupt her life, her uncle's peculiar behavior leads her to discover a haunting mystery at his new house.",Indonesian,Indonesia,1 nomination,https://m.media-amazon.com/images/M/MV5BZTgwZWFkMTEtNmIxYi00NDg1LTg2ZDEtYzljZGQ5NDBmNzY2XkEyXkFqcGdeQXVyNjI3MDYxMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",,5.2,635,tt7981182,movie,,,,,True,,"As Risa's ability to see ghosts continues to disrupt her life, her uncle's peculiar behavior leads her to discover a haunting mystery at his new house.",,"based on novel or book, sequel, ghost, haunted, dutch colonialism",,"Based on the title, overview, and keywords, I would classify ""Danur 2: Maddah"" under **Invasion, Impostors & Paranoia** (Category 1).

The movie appears to revolve around Risa's ability to see ghosts, which disrupts her life. The discovery of a haunting mystery at her uncle's new house suggests that there is an external presence or invasion that is causing the paranormal activity. This fear category fits best because it involves an uncanny presence (ghosts) that is not part of institutional, technological, or social systems.

The keywords ""ghost"", ""haunted"", and ""Dutch colonialism"" further support this classification, as they imply a supernatural invasion or presence that is not driven by human agency.","Invasion, Impostors & Paranoia"
Devil's Horns // Tanduk Setan,No,,"200,000",1:21,100000,Devil's Horns,Devil's Horns,2024.0,,14 Mar 2024,81 min,"Drama, Horror","Bobby Prasetyo, Amriy R. Suwardi","Bobby Prasetyo, Amriy R. Suwardi","Boy Muhammad, Nur Mayati, Taskya Namya","The birth and death of a child who, unbeknownst to his family, had been marked by the devil for the taking.",Indonesian,Indonesia,,https://m.media-amazon.com/images/M/MV5BYWZiOWRkY2YtOWZhZS00OWFlLTk4N2QtZTFlMGJlMDc2MmNjXkEyXkFqcGc@._V1_SX300.jpg,[],,,125,tt31250216,movie,,,,,True,,Birth and death occur when the devil's horns rise. The terror of waiting for the birth of a child from a pre-pregnant marriage and the 14 day wait for death due to an implant that had not been removed.,,"devil, birth, death, ghost, horror anthology",,"Based on the title, overview, and keywords, I would classify ""Devil's Horns"" under **Possession & Loss of Agency** (Category 4).

The film appears to revolve around the themes of waiting for the birth of a child and the inevitability of death, which are both tied to supernatural forces. The presence of ghosts and the devil's horns suggests that there is an external force at play, manipulating or controlling the characters' lives.

While there may be elements of captivity and confinement (Category 5) present in the film, particularly with regards to the waiting period for birth and death, the primary fear seems to stem from the loss of agency and control over one's life due to supernatural forces. This aligns more closely with the Possession & Loss of Agency category.

Overall, I believe that ""Devil's Horns"" is a horror film that explores the fear of being possessed or controlled by external forces beyond human understanding, making it a prime candidate for classification under Category 4.",Possession & Loss of Agency
Drag Me to Hell,No,,"200,000",1:39,100000,Drag Me to Hell,Drag Me to Hell,2009.0,PG-13,29 May 2009,99 min,Horror,Sam Raimi,"Sam Raimi, Ivan Raimi","Alison Lohman, Justin Long, Ruth Livier",An ambitious loan officer must find a way to shatter a curse that threatens her soul with damnation.,"English, Spanish, Hungarian, Czech","United States, India",7 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMTQwNTMyNjc5Ml5BMl5BanBnXkFtZTcwOTI2MTQ0Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83.0,6.6,"226,065",tt1127180,movie,,"$42,100,625",,,True,,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.","Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell.","work, gypsy, gore, curse, psychologist, psychic, evil, loan officer, obituary, engagement ring",,"Based on the title, overview, and keywords, I would classify ""Drag Me to Hell"" under **Transgression & Moral Punishment**.

The movie's central conflict revolves around Christine's denial of a Gypsy woman's request for an extension, which leads to a curse being placed upon her. This transgression is punished by supernatural forces that threaten to drag her soul to hell. The horror arises from Christine's guilt and the need for moral purification, rather than external invasion or systemic control.

The presence of a psychic who claims to be able to lift the curse adds to the theme of moral punishment, as Christine must confront the consequences of her actions and seek redemption through this supernatural means. Overall, the fear at the core of ""Drag Me to Hell"" is rooted in transgression and moral punishment, making **Transgression & Moral Punishment** the primary fear category for this film.",Transgression & Moral Punishment
Family Vacation,No,,"200,000",1:23,100000,Family Vacation,Family Vacation,2017.0,,28 Nov 2017,2 min,"Short, Horror",Ryan Khanna,,,The old fashioned family is deconstructed through a horrific lens with found footage film.,English,Canada,,,[],,,,tt9287650,movie,,,,,True,,,,,Not found on TMDb,No Synopsis,Parsing Failed
Get Out (2017),No,,"200,000",1:44,100000,Get Out,Get Out,2017.0,R,24 Feb 2017,104 min,"Horror, Mystery, Thriller",Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","English, Swahili","Japan, United States",Won 1 Oscar. 154 wins & 214 nominations total,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85.0,7.8,"780,027",tt5052448,movie,09 May 2017,"$176,196,665","Universal Pictures, QC Entertainment, Blumhouse Productions",,True,,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","Just because you're invited, doesn't mean you're welcome.","kidnapping, externally controlled action, manipulation, dark comedy, hypnosis, parents-in-law, satire, racist, revenge, interracial relationship, disappearance, racism, psychological thriller, neurosurgeon, missing person, stereotype, brain surgery, satirical, race-conscious, frightened",,"Based on the title, overview, and keywords, I would classify ""Get Out"" under **Institutional & Structural Control**.

The film's primary fear is not an external invasion or possession, but rather the manipulation and control exerted by a powerful institution (the wealthy, white, and racist parents-in-law) that perpetuates systemic racism. The horror stems from the ways in which this institution uses its power to exploit and oppress people of color, particularly Chris.

The film's themes of racialized violence, microaggressions, and the commodification of black bodies are all rooted in institutional control, rather than a single villain or external threat. The neurosurgeon character, for example, represents the medical establishment's complicity in perpetuating racist stereotypes and exploiting black bodies.

While there are elements of possession and mind control in the film, these are ultimately tied to the larger structural issues of racism and oppression, making **Institutional & Structural Control** the most fitting category.",Institutional & Structural Control
